chrom,bam,bai,ref_fasta,ref_fai,gencode_gtf
chr11,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr11.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr11.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr11.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr11.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr11.gtf.gz
chr12,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr12.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr12.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr12.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr12.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr12.gtf.gz
chr13,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr13.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr13.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr13.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr13.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr13.gtf.gz
chr14,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr14.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr14.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr14.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr14.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr14.gtf.gz
chr15,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr15.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr15.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr15.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr15.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr15.gtf.gz
chr16,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr16.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr16.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr16.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr16.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr16.gtf.gz
chr17,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr17.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr17.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr17.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr17.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr17.gtf.gz
chr18,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr18.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr18.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr18.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr18.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr18.gtf.gz
chr19,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr19.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr19.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr19.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr19.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr19.gtf.gz
chr20,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr20.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr20.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr20.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr20.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr20.gtf.gz
chr21,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr21.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr21.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr21.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr21.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr21.gtf.gz
chr22,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr22.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr22.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr22.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr22.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr22.gtf.gz
chrX,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chrX.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chrX.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrX.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrX.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chrX.gtf.gz
chrY,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chrY.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chrY.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrY.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrY.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chrY.gtf.gz
chrOther,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chrOther.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chrOther.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrOther.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrOther.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chrOther.gtf.gz
